Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,"Oct 27, 2023 16:50:40.000000000",0.0,77,0x4e11,0xffff,66.0,0x4e11,0xfffc
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,"Oct 27, 2023 16:50:56.640981000",0.666443,77,0x4e11,0xffff,67.0,0x4e11,0xfffc
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,"Oct 27, 2023 16:51:14.256277000",0.622618,77,0x4e11,0xffff,68.0,0x4e11,0xfffc
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,"Oct 27, 2023 16:51:31.890258000",0.807561,77,0x4e11,0xffff,69.0,0x4e11,0xfffc
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,"Oct 27, 2023 16:51:48.714456000",0.025013,77,0x4e11,0xffff,72.0,0x4e11,0xfffc
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,"Oct 27, 2023 16:51:50.243004000",0.017077,48,0x0000,0x4e11,76.0,0x0000,0x4e11
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:51:50.258531000",0.009949,55,0x4e11,0x0000,73.0,0x4e11,0x0000
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:51:50.263482000",0.002809,55,0x4e11,0x0000,74.0,0x4e11,0x0000
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:51:50.300627000",0.035002,50,0x4e11,0x0000,75.0,0x4e11,0x0000
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:51:50.305658000",0.003048,52,0x4e11,0x0000,76.0,0x4e11,0x0000
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,"Oct 27, 2023 16:51:50.324814000",0.011551,45,0x0000,0x4e11,77.0,0x0000,0x4e11
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,"Oct 27, 2023 16:51:50.331637000",0.005,45,0x0000,0x4e11,77.0,0x0000,0x4e11
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,"Oct 27, 2023 16:51:50.339155000",0.005695,45,0x0000,0x4e11,78.0,0x0000,0x4e11
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,"Oct 27, 2023 16:51:50.349903000",0.008925,50,0x0000,0x4e11,79.0,0x0000,0x4e11
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:51:50.358136000",0.001508,55,0x4e11,0x0000,77.0,0x4e11,0x0000
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:51:50.404575000",0.044297,45,0x4e11,0x0000,78.0,0x4e11,0x0000
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,"Oct 27, 2023 16:51:52.908952000",0.376108,48,0x0000,0x4e11,80.0,0x0000,0x4e11
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:51:52.920344000",0.009472,55,0x4e11,0x0000,79.0,0x4e11,0x0000
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:51:52.966596000",0.044109,50,0x4e11,0x0000,80.0,0x4e11,0x0000
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,"Oct 27, 2023 16:51:52.981815000",0.013236,45,0x0000,0x4e11,81.0,0x0000,0x4e11
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:51:54.790172000",0.03849,55,0x4e11,0x0000,84.0,0x4e11,0x0000
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:51:54.834023000",0.03038,52,0x4e11,0x0000,85.0,0x4e11,0x0000
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,"Oct 27, 2023 16:51:54.850582000",0.014512,45,0x0000,0x4e11,91.0,0x0000,0x4e11
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,"Oct 27, 2023 16:51:54.875432000",0.023027,50,0x0000,0x4e11,92.0,0x0000,0x4e11
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:51:54.886420000",0.003412,55,0x4e11,0x0000,86.0,0x4e11,0x0000
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:51:54.930386000",0.041823,45,0x4e11,0x0000,87.0,0x4e11,0x0000
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,"Oct 27, 2023 16:51:55.479281000",0.255846,77,0x4e11,0xffff,88.0,0x4e11,0xfffc
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,"Oct 27, 2023 16:51:58.464929000",0.836183,48,0x0000,0x4e11,95.0,0x0000,0x4e11
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:51:58.478548000",0.0117,55,0x4e11,0x0000,89.0,0x4e11,0x0000
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:51:58.484457000",0.003766,55,0x4e11,0x0000,90.0,0x4e11,0x0000
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:51:58.522540000",0.03594,50,0x4e11,0x0000,91.0,0x4e11,0x0000
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:51:58.526757000",0.002234,52,0x4e11,0x0000,92.0,0x4e11,0x0000
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,"Oct 27, 2023 16:51:58.547125000",0.018321,45,0x0000,0x4e11,96.0,0x0000,0x4e11
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,"Oct 27, 2023 16:51:58.551517000",0.004392,45,0x0000,0x4e11,96.0,0x0000,0x4e11
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,"Oct 27, 2023 16:51:58.559361000",0.006021,45,0x0000,0x4e11,97.0,0x0000,0x4e11
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,"Oct 27, 2023 16:51:58.573786000",0.012602,50,0x0000,0x4e11,98.0,0x0000,0x4e11
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:51:58.581396000",0.005627,55,0x4e11,0x0000,93.0,0x4e11,0x0000
Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,"Oct 27, 2023 16:51:58.630063000",0.046524,45,0x4e11,0x0000,94.0,0x4e11,0x0000
