Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Unknown,Unknown,24.4,8.049844718999243,0.0030949999999999997,0.0020976665607288494,211.0,53.0,146.8
Unknown,Unknown,28.0,0.0,0.0063694,0.005716031123078321,218.0,53.0,148.2
Unknown,Unknown,28.0,0.0,0.005816,0.00605365183174586,218.0,53.0,153.6
Unknown,Unknown,28.0,0.0,0.0061844,0.0058264110136515435,255.0,163.0,194.0
Unknown,Unknown,28.0,0.0,0.0077598,0.005967469120154708,255.0,86.0,178.6
Unknown,Unknown,28.0,0.0,0.0092916,0.006147891207560524,255.0,86.0,164.2
Unknown,Unknown,28.0,0.0,0.012351999999999998,0.011781296511844525,255.0,86.0,158.2
Unknown,Unknown,28.0,0.0,0.013820000000000002,0.010534895229664127,255.0,79.0,141.2
Unknown,Unknown,23.4,10.285912696499032,0.013423399999999999,0.011023471336198956,188.0,79.0,107.6
Unknown,Unknown,18.8,12.597618822618822,0.0115592,0.012191613416607338,188.0,79.0,107.8
Unknown,Unknown,14.2,12.597618822618822,0.0093834,0.012840220297954393,189.0,79.0,126.0
Unknown,Unknown,19.0,20.96425529323663,0.0033418,0.0032708848497004597,190.0,79.0,126.4
Unknown,Unknown,14.4,21.019038988498025,0.001916,0.0002522805977478252,190.0,87.0,148.6
Unknown,Unknown,14.4,21.019038988498025,0.0021342,0.0005927412588980119,190.0,87.0,165.4
Unknown,Unknown,14.4,21.01903898849803,0.0021732,0.0005890948141004129,191.0,171.0,186.2
Unknown,Unknown,14.4,21.01903898849803,0.0021546000000000004,0.0005955088580365535,191.0,171.0,182.8
Unknown,Unknown,5.0,0.0,0.002258,0.0004796722839606225,192.0,171.0,183.2
Unknown,Unknown,6.0,2.23606797749979,0.14077279999999998,0.30961146443680015,211.0,171.0,187.4
Unknown,Unknown,10.6,9.964938534682489,0.1430402,0.30839026382280615,211.0,138.0,180.8
Unknown,Unknown,15.2,11.861703081766969,0.14326999999999998,0.3082594851541473,211.0,138.0,177.2
Unknown,Unknown,19.8,11.366617790706258,0.14379879999999998,0.3079585825767809,211.0,88.0,160.4
Unknown,Unknown,24.4,8.049844718999243,0.14487619999999998,0.3073472168073106,211.0,0.0,122.0
Unknown,Unknown,28.0,0.0,0.0061676000000000005,0.005149229486049345,193.0,0.0,118.4
Unknown,Unknown,28.0,0.0,0.0062906,0.0053974470631957105,219.0,0.0,134.6
Unknown,Unknown,28.0,0.0,0.008988199999999998,0.006762153591867017,219.0,0.0,133.0
Unknown,Unknown,28.0,0.0,0.0100826,0.006301086477743342,219.0,0.0,131.4
Unknown,Unknown,28.0,0.0,0.017377999999999998,0.01601075393290397,219.0,54.0,142.2
Unknown,Unknown,28.0,0.0,0.0179772,0.015288019580704363,219.0,54.0,123.4
Unknown,Unknown,23.4,10.285912696499032,0.015389799999999999,0.016915416923623253,174.0,54.0,114.4
Unknown,Unknown,18.8,12.597618822618822,0.0124624,0.017842004394125678,194.0,54.0,120.2
Unknown,Unknown,14.2,12.597618822618822,0.010851799999999998,0.01846456826465217,194.0,54.0,139.2
Unknown,Unknown,9.6,10.28591269649903,0.0031899999999999997,0.0015651258735322217,195.0,99.0,167.4
Unknown,Unknown,5.0,0.0,0.0027562,0.001559085853954169,195.0,89.0,165.4
Unknown,Unknown,5.0,0.0,0.0027302,0.0015735109468955088,195.0,1.0,130.8
Unknown,Unknown,5.0,0.0,0.0026908,0.001592241721598828,195.0,1.0,110.2
Unknown,Unknown,5.0,0.0,0.0039882,0.0029607426770997844,196.0,1.0,114.4
Unknown,Unknown,5.0,0.0,0.00329,0.0029151736654957627,196.0,1.0,114.6
Unknown,Unknown,5.0,0.0,0.0033122,0.0029023937878930213,196.0,1.0,115.0
Unknown,Unknown,5.0,0.0,0.0033251999999999995,0.0028950882024560143,197.0,91.0,154.2
Unknown,Unknown,5.0,0.0,0.0033069999999999996,0.002905689849244065,197.0,91.0,154.4
Unknown,Unknown,5.0,0.0,0.0020346,7.990807218297782e-05,197.0,91.0,148.2
Unknown,Unknown,5.0,0.0,0.0020476,8.736875871843436e-05,197.0,91.0,144.2
