Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Broadcast,Broadcast,76.0,1.7320508075688772,0.21605566666666665,0.32672317959448993,150.0,7.0,93.33333333333333
Ledvance Smart+ Plug,Socket,74.0,0.0,0.056244,0.0,150.0,150.0,150.0
Power Plug 1,Socket,77.0,0.0,0.591923,0.0,123.0,123.0,123.0
Smart Socket,Socket,77.0,0.0,0.0,0.0,7.0,7.0,7.0
Broadcast,Broadcast,68.0,0.0,0.363367,0.0,120.0,120.0,120.0
Moes Bulb,Bulb,68.0,0.0,0.363367,0.0,120.0,120.0,120.0
Unknown,Unknown,26.363636363636363,5.427204202399744,0.026594181818181826,0.053817242885190957,249.0,8.0,144.1818181818182
Broadcast,Broadcast,77.0,0.0,4.067725,0.0,250.0,250.0,250.0
Philips Lamp 3,Bulb,77.0,0.0,4.067725,0.0,250.0,250.0,250.0
Unknown,Unknown,26.5,5.196152422706632,0.028335333333333334,0.06740528257331081,251.0,9.0,145.08333333333334
Broadcast,Broadcast,77.0,0.0,2.846365,0.0,80.0,80.0,80.0
Ledvance Bulb,Bulb,77.0,0.0,2.846365,0.0,80.0,80.0,80.0
Broadcast,Broadcast,75.5,2.1213203435596424,0.613788,0.6436439475750548,169.0,13.0,91.0
Coordinator,Coordinator,77.0,0.0,0.158663,0.0,13.0,13.0,13.0
Ledvance Z3 Plug,Socket,74.0,0.0,1.068913,0.0,169.0,169.0,169.0
Coordinator,Coordinator,52.36363636363637,3.9057067804106156,0.04781354545454546,0.14311503455917107,245.0,15.0,138.8181818181818
Ledvance Z3 Plug,Socket,51.55555555555556,3.5394600969325505,0.010802555555555557,0.012869878361032702,243.0,170.0,202.66666666666666
Unknown,Unknown,12.818181818181818,10.935762849061293,0.012293484848484849,0.04319602872090877,252.0,10.0,159.9090909090909
Broadcast,Broadcast,77.0,0.0,0.002345,0.0,230.0,230.0,230.0
Coordinator,Coordinator,54.166666666666664,8.304853294025978,0.045955555555555555,0.1610669475266591,227.0,11.0,57.0
Philips Lamp 2,Bulb,77.0,0.0,0.002345,0.0,230.0,230.0,230.0
Power Plug 1,Socket,52.857142857142854,8.783100656536798,0.003394285714285714,0.0013256012113107664,128.0,12.0,46.857142857142854
Power Plug 2,Socket,54.166666666666664,8.841191473249895,0.006880833333333333,0.003133052978592393,227.0,25.0,94.0
Smart Socket,Socket,54.166666666666664,8.841191473249895,0.121666,0.2789526845879064,26.0,11.0,18.666666666666668
Unknown,Unknown,5.0,0.0,0.0020512173913043476,0.00026733617864229894,227.0,11.0,47.78260869565217
Broadcast,Broadcast,75.5,2.1213203435596424,0.5381900000000001,0.1567811297382437,246.0,228.0,237.0
Philips Lamp 1,Bulb,77.0,0.0,0.427329,0.0,246.0,246.0,246.0
Power Plug 2,Socket,74.0,0.0,0.649051,0.0,228.0,228.0,228.0
Coordinator,Coordinator,50.0,2.0,0.163163,0.2144240646452725,152.0,31.0,111.33333333333333
Ledvance Smart+ Plug,Socket,50.0,2.0,0.163163,0.2144240646452725,152.0,31.0,111.33333333333333
Unknown,Unknown,5.0,0.0,0.001984333333333333,6.101092798288961e-05,152.0,31.0,111.33333333333333
Broadcast,Broadcast,77.0,0.0,0.43307,0.0,18.0,18.0,18.0
Smart Socket,Socket,77.0,0.0,0.43307,0.0,18.0,18.0,18.0
Unknown,Unknown,26.2,5.692099788303083,0.12694100000000003,0.3674874162930995,253.0,17.0,144.9
Broadcast,Broadcast,75.5,2.1213203435596424,0.3100075,0.34134377780252567,153.0,130.0,141.5
Ledvance Smart+ Plug,Socket,74.0,0.0,0.068641,0.0,153.0,153.0,153.0
Power Plug 1,Socket,77.0,0.0,0.551374,0.0,130.0,130.0,130.0
Broadcast,Broadcast,51.81481481481482,5.091750772173158,0.026294703703703706,0.019265733727597247,255.0,2.0,111.29629629629629
Coordinator,Coordinator,56.88235294117647,10.343369572709229,0.03182029411764706,0.10368092191597059,252.0,0.0,87.3529411764706
Ledvance Bulb,Bulb,77.0,0.0,0.0180362,0.02773427434060606,85.0,39.0,65.8
Ledvance Smart+ Plug,Socket,49.0,1.4142135623730951,0.2223015,0.2990050521721999,154.0,33.0,93.5
Ledvance Z3 Plug,Socket,52.333333333333336,2.5495097567963927,0.0059858888888888896,0.00733415474755688,255.0,176.0,211.11111111111111
Moes Bulb,Bulb,59.8,12.327025413925112,0.0178377,0.02348619556273666,85.0,16.0,33.4
Unknown,Unknown,5.0,0.0,0.0021809,0.0003121679863857566,255.0,0.0,129.6
Broadcast,Broadcast,53.888888888888886,8.666666666666666,0.048051,0.054834271863042,235.0,0.0,96.33333333333333
Coordinator,Coordinator,77.0,0.0,0.019702,0.023159161297421803,42.0,41.0,41.5
Ledvance Bulb,Bulb,77.0,0.0,0.0119845,0.016089983416191993,88.0,41.0,64.5
Moes Bulb,Bulb,68.33333333333333,15.01110699893027,0.051519666666666665,0.08185036275016339,88.0,22.0,65.66666666666667
Philips Lamp 3,Bulb,77.0,0.0,0.004662,0.0,1.0,1.0,1.0
Unknown,Unknown,5.0,0.0,0.0028232500000000002,1.1265729744080786e-05,88.0,41.0,64.5
Broadcast,Broadcast,77.0,0.0,0.518725,0.0,43.0,43.0,43.0
Coordinator,Coordinator,77.0,0.0,0.518725,0.0,43.0,43.0,43.0
Unknown,Unknown,26.5,5.196152422706632,0.08255566666666667,0.24831016909404888,233.0,3.0,95.75
Broadcast,Broadcast,77.0,0.0,0.334869,0.46594235660862604,186.0,6.0,96.0
Coordinator,Coordinator,53.25,2.5,0.07220149999999999,0.13745891365422616,235.0,45.0,92.5
Ledvance Z3 Plug,Socket,77.0,0.0,0.66434,0.0,186.0,186.0,186.0
Philips Lamp 1,Bulb,77.0,0.0,0.005398,0.0,6.0,6.0,6.0
Philips Lamp 2,Bulb,52.0,0.0,0.002229,0.0005359869401394031,234.0,234.0,234.0
Unknown,Unknown,5.0,0.0,0.00209575,8.372723571216248e-05,237.0,39.0,139.0
Coordinator,Coordinator,52.90909090909091,2.0225995873897267,0.008117545454545455,0.014867311285929519,241.0,46.0,134.1818181818182
Philips Lamp 2,Bulb,52.0,0.0,0.003654,0.0,237.0,237.0,237.0
Unknown,Unknown,8.571428571428571,13.363062095621222,0.009316571428571428,0.025679112471825413,242.0,47.0,225.71428571428572
Coordinator,Coordinator,54.5,3.5355339059327378,0.0036695,0.00010394469683442249,243.0,242.0,242.5
Philips Lamp 2,Bulb,55.0,0.0,0.954428,0.0,243.0,243.0,243.0
Unknown,Unknown,13.8,19.67739820199815,0.10990340000000001,0.24106692209591926,244.0,242.0,243.0
Coordinator,Coordinator,50.16,3.6932370625238775,0.0411368,0.16181422493763228,99.0,5.0,60.32
Ledvance Bulb,Bulb,50.125,4.177319714841085,0.0112633125,0.010208216309873466,99.0,49.0,78.8125
Moes Bulb,Bulb,49.0,1.4142135623730951,0.0068709999999999995,0.0013845150775632599,92.0,24.0,58.0
Philips Lamp 1,Bulb,51.0,3.605551275463989,0.002821,0.0017451736303302318,51.0,7.0,22.0
Philips Lamp 3,Bulb,50.25,3.304037933599835,0.20734049999999998,0.40623477030694133,48.0,5.0,26.75
Unknown,Unknown,5.0,0.0,0.0019825999999999997,0.00012257616679708442,99.0,5.0,62.08
Coordinator,Coordinator,51.916666666666664,3.6545944516540554,0.06323266666666666,0.1033131485712103,103.0,7.0,48.166666666666664
Ledvance Bulb,Bulb,50.333333333333336,4.546060565661952,0.02284783333333333,0.017324443003071316,103.0,58.0,87.16666666666667
Philips Lamp 1,Bulb,53.5,2.1213203435596424,0.1270405,0.13148862728198207,11.0,10.0,10.5
Philips Lamp 3,Bulb,53.5,1.7320508075688772,0.091906,0.16062648667638849,10.0,7.0,8.5
Unknown,Unknown,15.217391304347826,11.508718125202977,0.008034652173913043,0.01357013131379051,245.0,7.0,81.1304347826087
Coordinator,Coordinator,51.25,4.349329450233296,0.18054425,0.18789368915670548,136.0,12.0,55.25
Philips Lamp 3,Bulb,53.5,2.1213203435596424,0.218071,0.2578903283801081,13.0,12.0,12.5
Power Plug 1,Socket,49.0,5.656854249492381,0.1383465,0.19037648001919777,136.0,24.0,80.0
Unknown,Unknown,5.0,0.0,0.0019701999999999996,0.00016624289458500166,136.0,12.0,49.0
Coordinator,Coordinator,51.5,3.9370039370059056,0.1542125,0.26755517702242276,248.0,61.0,136.0
Philips Lamp 2,Bulb,52.25,2.0615528128088303,0.00878675,0.011012211324252728,247.0,246.0,246.25
Power Plug 1,Socket,49.0,5.656854249492381,0.121077,0.16596644682585696,137.0,25.0,81.0
Unknown,Unknown,8.75,12.99038105676658,0.002619083333333333,0.0017210085551703969,248.0,25.0,188.16666666666666
Broadcast,Broadcast,77.0,0.0,0.144776,0.0,248.0,248.0,248.0
Coordinator,Coordinator,50.5,0.7071067811865476,0.4461855,0.6073912900104018,63.0,26.0,44.5
Moes Bulb,Bulb,50.5,0.7071067811865476,0.010246000000000002,0.00912026326374409,104.0,26.0,65.0
Philips Lamp 2,Bulb,77.0,0.0,0.144776,0.0,248.0,248.0,248.0
Unknown,Unknown,5.0,0.0,0.001989,1.1269427669584639e-05,104.0,26.0,64.33333333333333
Broadcast,Broadcast,74.0,0.0,0.862826,0.0,249.0,249.0,249.0
Coordinator,Coordinator,49.0,5.656854249492381,0.0825225,0.0973834530117925,64.0,26.0,45.0
Power Plug 2,Socket,74.0,0.0,0.862826,0.0,249.0,249.0,249.0
Smart Socket,Socket,49.0,5.656854249492381,0.0825225,0.0973834530117925,64.0,26.0,45.0
Unknown,Unknown,22.666666666666668,9.726564686777166,0.0168575,0.024477912019169077,250.0,12.0,103.91666666666667
Coordinator,Coordinator,50.5,0.7071067811865476,0.5130680000000001,0.7018657057243929,66.0,28.0,47.0
Moes Bulb,Bulb,50.5,0.7071067811865476,0.010123,0.009405934403343457,105.0,28.0,66.5
Unknown,Unknown,5.0,0.0,0.001988666666666667,1.0692676621563796e-05,105.0,28.0,66.33333333333333
Broadcast,Broadcast,77.0,0.0,0.363529,0.0,30.0,30.0,30.0
Coordinator,Coordinator,49.0,4.618802153517006,0.18857175,0.31913547505343764,139.0,29.0,75.75
