Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Ledvance Bulb,Bulb,54.0,2.23606797749979,0.0092708,0.00326824917960672,217.0,214.0,215.2
Ledvance Bulb,Bulb,53.4,2.3021728866442674,0.008917,0.003028087102446031,218.0,214.0,216.0
Ledvance Bulb,Bulb,52.8,2.1679483388678804,0.0101998,0.0013740955934723024,219.0,215.0,217.0
Ledvance Bulb,Bulb,52.8,2.16794833886788,0.0087512,0.003420348257122365,220.0,216.0,218.0
Ledvance Bulb,Bulb,52.8,2.16794833886788,0.0091324,0.0034474349595024992,221.0,217.0,219.0
Ledvance Bulb,Bulb,51.8,4.08656334834051,0.0131548,0.011034066802407896,222.0,218.0,220.0
Ledvance Bulb,Bulb,50.4,5.079370039680118,0.013439999999999999,0.010947611611671286,223.0,219.0,221.0
Ledvance Bulb,Bulb,51.0,5.477225575051661,0.138736,0.2787342757538082,224.0,220.0,222.0
Ledvance Bulb,Bulb,50.4,5.079370039680118,0.146129,0.2746998690707733,225.0,221.0,223.0
Ledvance Bulb,Bulb,50.4,5.079370039680118,0.14600799999999997,0.27477489526883636,226.0,222.0,224.0
Ledvance Bulb,Bulb,50.4,5.079370039680118,0.147373,0.27408380736099675,227.0,223.0,225.0
Ledvance Bulb,Bulb,56.8,12.00833044182246,0.24508259999999998,0.2993821294705146,229.0,224.0,226.2
Ledvance Bulb,Bulb,56.8,12.00833044182246,0.1212164,0.21210441053005002,230.0,225.0,227.4
Ledvance Bulb,Bulb,57.4,11.781341180018513,0.11383759999999998,0.21623293961443524,231.0,226.0,228.6
Ledvance Bulb,Bulb,56.4,12.239281024635394,0.11602839999999999,0.21496312010970625,232.0,227.0,229.8
Ledvance Bulb,Bulb,57.8,10.940749517286282,0.109517,0.21834801439788729,233.0,229.0,231.0
Ledvance Bulb,Bulb,53.4,2.302172886644268,0.0100152,0.008432657689008844,234.0,230.0,232.0
Ledvance Bulb,Bulb,51.4,4.159326868617084,0.0158682,0.018815583347321443,235.0,231.0,233.0
Ledvance Bulb,Bulb,51.4,4.159326868617084,0.0168268,0.018119043826869012,236.0,232.0,234.0
Ledvance Bulb,Bulb,51.4,4.159326868617084,0.021562400000000002,0.021981676956046824,237.0,233.0,235.0
Ledvance Bulb,Bulb,52.0,4.47213595499958,0.022910400000000004,0.021003779750321132,238.0,234.0,236.0
Ledvance Bulb,Bulb,52.0,4.47213595499958,0.029137800000000002,0.017762208736528236,239.0,235.0,237.0
Ledvance Bulb,Bulb,53.0,2.7386127875258306,0.021376600000000003,0.016488256208586766,240.0,236.0,238.0
Ledvance Bulb,Bulb,53.4,3.209361307176242,0.022949,0.015220931837440178,241.0,237.0,239.0
Ledvance Bulb,Bulb,54.4,2.6076809620810595,0.014927,0.011354071780643278,242.0,238.0,240.0
Ledvance Bulb,Bulb,52.4,4.878524367060187,0.0240376,0.022429201207354667,243.0,239.0,241.0
Ledvance Bulb,Bulb,56.8,12.214745187681975,0.07415,0.11936256561837132,244.0,240.0,242.0
Ledvance Bulb,Bulb,62.2,14.25482374496437,0.32830499999999996,0.5433744601869874,245.0,241.0,243.0
Ledvance Bulb,Bulb,63.8,13.971399357258385,0.3705318,0.5207577143900031,247.0,242.0,244.2
Ledvance Bulb,Bulb,62.2,15.594870951694341,0.370679,0.5206282976457388,248.0,243.0,245.4
Ledvance Bulb,Bulb,66.0,12.328828005937952,0.359782,0.5292891616659082,249.0,244.0,246.6
Ledvance Bulb,Bulb,63.4,10.691117808723277,0.30428359999999993,0.5532181415353259,249.0,108.0,219.4
Ledvance Bulb,Bulb,61.0,7.842193570679061,0.049449200000000006,0.09926087508278375,249.0,108.0,192.2
Ledvance Bulb,Bulb,61.0,7.842193570679061,0.006078600000000001,0.0024519574425344334,249.0,108.0,167.0
Ledvance Bulb,Bulb,64.4,0.5477225575051661,0.006274399999999999,0.0023558453472161535,249.0,108.0,141.8
Ledvance Bulb,Bulb,62.6,4.277849927241488,0.0059162,0.0028369478669866316,250.0,108.0,142.0
Ledvance Bulb,Bulb,62.8,4.381780460041329,0.0050872,0.0031758392906442857,250.0,109.0,146.0
Ledvance Bulb,Bulb,62.8,4.3817804600413295,0.0047084,0.0033413169260038773,250.0,56.0,135.4
Ledvance Bulb,Bulb,62.8,4.3817804600413295,0.0037424,0.0016382566343525061,250.0,56.0,133.2
Ledvance Bulb,Bulb,62.8,4.3817804600413295,0.0032744000000000002,0.0012094927862538083,250.0,56.0,149.0
Ledvance Bulb,Bulb,64.8,0.4472135954999579,0.0033638,0.0011443955609840508,202.0,56.0,139.4
Ledvance Bulb,Bulb,62.8,4.381780460041329,0.0036122000000000003,0.001023816487462475,251.0,56.0,164.0
Ledvance Bulb,Bulb,62.6,4.277849927241488,0.004977199999999999,0.002762904757678049,251.0,110.0,178.8
Ledvance Bulb,Bulb,58.6,8.61974477580398,0.0046292,0.0028176562423404316,252.0,130.0,207.2
Ledvance Bulb,Bulb,56.8,8.136338242723197,0.0047512000000000006,0.0027628265779813255,253.0,130.0,217.6
Ledvance Bulb,Bulb,53.8,7.049822692805827,0.007517199999999999,0.005726132874811761,254.0,130.0,228.0
Ledvance Bulb,Bulb,51.8,7.981227975693965,0.0090836,0.00548283642834619,255.0,130.0,228.8
Ledvance Bulb,Bulb,52.0,8.366600265340756,0.030698999999999997,0.048949913043845134,255.0,123.0,227.4
Ledvance Bulb,Bulb,55.8,8.700574693662482,0.032767599999999994,0.04772058205114435,255.0,123.0,217.6
Ledvance Bulb,Bulb,57.8,9.57601169589929,0.0328624,0.04764954427169267,255.0,123.0,207.8
Ledvance Bulb,Bulb,60.6,8.734987120768983,0.031090399999999997,0.048557553596737135,255.0,123.0,181.8
Ledvance Bulb,Bulb,64.6,0.5477225575051661,0.0293464,0.04958195876828587,204.0,58.0,142.4
Ledvance Bulb,Bulb,64.4,0.5477225575051661,0.0089706,0.005730218433881905,204.0,58.0,129.6
Ledvance Bulb,Bulb,64.6,0.5477225575051661,0.0330424,0.056817660056535234,204.0,58.0,111.0
Ledvance Bulb,Bulb,64.6,0.5477225575051661,0.033748600000000004,0.05639404624869543,124.0,0.0,70.2
Ledvance Bulb,Bulb,64.8,0.4472135954999579,0.0380196,0.05472401459414321,110.0,0.0,54.0
Ledvance Bulb,Bulb,64.6,0.5477225575051661,0.03933199999999999,0.053738014798650674,110.0,0.0,42.6
Ledvance Bulb,Bulb,64.6,0.5477225575051661,0.038151399999999995,0.05444350017954392,111.0,0.0,53.0
Ledvance Bulb,Bulb,64.6,0.5477225575051661,0.012435200000000002,0.009502447247946183,133.0,0.0,57.6
Ledvance Bulb,Bulb,64.6,0.5477225575051661,0.012087,0.009734791882726615,133.0,1.0,82.6
Ledvance Bulb,Bulb,64.4,0.5477225575051661,0.0086876,0.0026951655422255607,205.0,1.0,115.0
Ledvance Bulb,Bulb,64.4,0.5477225575051661,0.009027,0.00290036333930768,205.0,111.0,140.0
Ledvance Bulb,Bulb,64.4,0.5477225575051661,0.0097904,0.003612920951252601,205.0,125.0,144.6
Ledvance Bulb,Bulb,64.2,0.4472135954999579,0.009186199999999999,0.0045883007421048585,205.0,61.0,130.2
Ledvance Bulb,Bulb,64.2,0.4472135954999579,0.008388,0.005485009936180609,205.0,61.0,127.6
Ledvance Bulb,Bulb,64.2,0.4472135954999579,0.0116144,0.010618861558566435,134.0,61.0,109.2
Ledvance Bulb,Bulb,62.4,4.159326868617084,0.056463,0.10053592666057246,134.0,2.0,84.4
Ledvance Bulb,Bulb,60.6,5.128352561983234,0.054717400000000006,0.10153379753707631,113.0,2.0,58.0
Ledvance Bulb,Bulb,58.2,5.890670590009257,0.061602599999999993,0.09823673751351883,113.0,2.0,46.4
Ledvance Bulb,Bulb,58.2,5.890670590009256,0.0636988,0.0967546803865322,113.0,2.0,24.8
