Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Ledvance Bulb,Bulb,77.0,0.0,1.645791,0.0,232.0,232.0,232.0
Ledvance Bulb,Bulb,52.18181818181818,3.9450774851245143,0.007549727272727274,0.008426700577223676,243.0,234.0,238.72727272727272
Ledvance Bulb,Bulb,51.75,4.716990566028302,0.023035,0.019491059198172546,247.0,244.0,245.5
Ledvance Bulb,Bulb,77.0,0.0,0.511163,0.0,248.0,248.0,248.0
Ledvance Bulb,Bulb,77.0,0.0,0.003399,0.0,250.0,250.0,250.0
Ledvance Bulb,Bulb,77.0,0.0,0.0032624999999999998,0.000662559053971795,254.0,252.0,253.0
Ledvance Bulb,Bulb,77.0,0.0,0.027777,0.0,0.0,0.0,0.0
Ledvance Bulb,Bulb,77.0,0.0,0.348289,0.0,1.0,1.0,1.0
Ledvance Bulb,Bulb,61.233333333333334,6.521494081686439,0.014679666666666666,0.03123211828731192,223.0,36.0,129.6
Ledvance Bulb,Bulb,60.083333333333336,6.639528095680697,0.03863758333333333,0.053337747224572796,167.0,39.0,120.75
Ledvance Bulb,Bulb,51.75,4.716990566028302,0.12096150000000001,0.17465975708502518,171.0,168.0,169.5
Ledvance Bulb,Bulb,62.0,0.0,0.023673,0.0,172.0,172.0,172.0
Ledvance Bulb,Bulb,65.0,0.0,0.166819,0.0,173.0,173.0,173.0
Ledvance Bulb,Bulb,74.0,0.0,0.808696,0.0,174.0,174.0,174.0
Ledvance Bulb,Bulb,77.0,0.0,0.370984,0.0,178.0,178.0,178.0
Ledvance Bulb,Bulb,57.75,13.047988350699889,0.06520524999999999,0.07421937624535792,182.0,179.0,180.5
Ledvance Bulb,Bulb,77.0,0.0,0.960124,0.0,183.0,183.0,183.0
Ledvance Bulb,Bulb,77.0,0.0,1.23263,0.0,184.0,184.0,184.0
Ledvance Bulb,Bulb,52.0,4.0,0.017144499999999997,0.017121613016885993,190.0,185.0,187.5
Ledvance Bulb,Bulb,52.0,4.0,0.017208,0.016262384044167695,196.0,191.0,193.5
Ledvance Bulb,Bulb,53.529411764705884,2.211267935450823,0.009389,0.01075687521425251,244.0,14.0,131.0
Ledvance Bulb,Bulb,54.0,0.0,0.0273575,0.029550699492567008,201.0,61.0,131.0
Ledvance Bulb,Bulb,53.5,5.972157622389639,0.030122750000000004,0.01953211346091354,205.0,202.0,203.5
Ledvance Bulb,Bulb,52.0,4.0,0.017441666666666664,0.016965373295824253,211.0,206.0,208.5
Ledvance Bulb,Bulb,52.0,4.0,0.017031,0.016674108407947932,217.0,212.0,214.5
Ledvance Bulb,Bulb,77.0,0.0,0.92549,0.0,218.0,218.0,218.0
Ledvance Bulb,Bulb,51.75,3.453776401067595,0.013379,0.015091576742389397,224.0,219.0,221.5
Ledvance Bulb,Bulb,52.875,4.189698250300543,0.020882625,0.021264104347383846,232.0,225.0,228.5
Ledvance Bulb,Bulb,52.0,2.7386127875258306,0.021621,0.022505493284973782,236.0,233.0,234.4
Ledvance Bulb,Bulb,52.5,2.886751345948129,0.025646000000000002,0.022445607513869315,240.0,237.0,238.5
Ledvance Bulb,Bulb,52.5,3.5355339059327378,0.025928000000000003,0.02713592983481495,242.0,241.0,241.5
Ledvance Bulb,Bulb,52.166666666666664,4.02077936060494,0.03178533333333333,0.021908589490578043,248.0,243.0,245.5
Ledvance Bulb,Bulb,52.5,2.886751345948129,0.025527750000000002,0.022442139921362222,252.0,249.0,250.5
Ledvance Bulb,Bulb,52.5,2.886751345948129,0.02575425,0.023323937508848428,255.0,0.0,190.5
Ledvance Bulb,Bulb,57.4,11.23832727766904,0.0203884,0.017488913596904757,5.0,1.0,3.0
Ledvance Bulb,Bulb,53.2,3.675746333890726,0.0157089,0.016208844529727866,13.0,6.0,9.2
Ledvance Bulb,Bulb,58.0,11.704699910719626,0.0550434,0.07752139939590874,26.0,22.0,24.0
Ledvance Bulb,Bulb,53.0,4.0,0.042988,0.07578681640496585,37.0,33.0,34.5
Ledvance Bulb,Bulb,77.0,0.0,1.743199,0.0,43.0,43.0,43.0
Ledvance Bulb,Bulb,53.0,5.41602560309064,0.07221125,0.08726034610816454,49.0,46.0,47.5
Ledvance Bulb,Bulb,77.0,0.0,0.006466,0.0,58.0,58.0,58.0
Ledvance Bulb,Bulb,55.4,8.408989898383224,0.10539999999999998,0.21570348760998534,68.0,60.0,64.3
Ledvance Bulb,Bulb,52.5,3.5355339059327378,0.0290125,0.02348372330998643,70.0,69.0,69.5
Ledvance Bulb,Bulb,52.875,4.189698250300543,0.030931,0.01802472744394687,78.0,71.0,74.5
Ledvance Bulb,Bulb,52.5,2.886751345948129,0.02575425,0.021656989054729344,82.0,79.0,80.5
Ledvance Bulb,Bulb,55.0,0.0,0.017383333333333334,0.01120461018212295,85.0,83.0,84.0
Ledvance Bulb,Bulb,51.22222222222222,3.929942040850532,0.043051111111111116,0.07523923160898914,94.0,86.0,90.0
Ledvance Bulb,Bulb,50.0,7.0710678118654755,0.0030595,0.0008916616510762364,96.0,95.0,95.5
Ledvance Smart+ Plug,Socket,77.0,0.0,0.032959,0.0,33.0,33.0,33.0
Ledvance Smart+ Plug,Socket,59.666666666666664,15.044378795195676,0.008686666666666665,0.010395415063061856,36.0,34.0,35.0
Ledvance Smart+ Plug,Socket,51.0,1.4142135623730951,0.04443,0.02631427175507618,38.0,37.0,37.5
Ledvance Smart+ Plug,Socket,77.0,0.0,0.096899,0.0,53.0,53.0,53.0
Ledvance Smart+ Plug,Socket,49.0,0.0,0.00197,0.0,54.0,54.0,54.0
Ledvance Smart+ Plug,Socket,77.0,0.0,0.017487,0.0,57.0,57.0,57.0
Ledvance Smart+ Plug,Socket,77.0,0.0,0.095815,0.0,59.0,59.0,59.0
Ledvance Smart+ Plug,Socket,77.0,0.0,0.033094,0.0,61.0,61.0,61.0
Ledvance Smart+ Plug,Socket,77.0,0.0,0.006745,0.0,62.0,62.0,62.0
