Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
"Oct 27, 2023 17:02:47.000000",0.000000,10,,,0x0803,211,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:47.004604",0.004604,28,0x1cd8,,0x8000,137,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:47.006752",0.002148,28,0x3d95,,0x8000,53,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:47.010208",0.003456,28,0x711c,,0x8000,163,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:47.015475",0.005267,28,0x5bb9,,0x8000,170,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:47.031847",0.016372,28,0x0112,,0x8000,218,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:47.033684",0.001837,28,0xec7f,,0x8000,164,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:47.037674",0.003990,28,0x1e15,,0x8000,255,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:47.049007",0.011333,28,0x0000,,0x8000,86,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:47.061933",0.012926,28,0x4e11,,0x8000,98,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:47.093607",0.031674,28,0xa706,,0x8000,188,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:47.102784",0.009177,28,0xe1a6,,0x8000,79,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:50.654348",,52,,,,,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:50.656355",0.002007,5,,,0x0002,87,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:50.657381",,52,,,,,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:50.659393",0.002012,5,,,0x0002,87,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:50.660618",,52,,,,,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:50.662665",0.002047,5,,,0x0002,189,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:50.664131",0.001466,52,0x4050,0xc914,0x8861,190,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:50.673580",,52,,,,,,,,,,AppInteraction5.pcapng
"Oct 27, 2023 17:02:50.678226",,52,,,,,,,,,,AppInteraction5.pcapng
