Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Smart Socket,Socket,"Oct 27, 2023 18:36:30.000000",0.0,77,0xe1a6,0xffff,0x8841,7.0,0xe1a6,0xfffc,0x1209,,,AppInteraction1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 27, 2023 18:36:30.056244",0.056244,74,0x0112,0xffff,0x8841,150.0,0x0112,0xfffc,0x1209,,,AppInteraction1.pcapng
Power Plug 1,Socket,"Oct 27, 2023 18:36:30.648167",0.591923,77,0x3d95,0xffff,0x8841,123.0,0x3d95,0xfffc,0x1209,,,AppInteraction1.pcapng
Moes Bulb,Bulb,"Oct 27, 2023 18:36:31.011534",0.363367,68,0x1e15,0xffff,0x8841,120.0,0x1e15,0xfffc,0x1209,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:31.195356",0.183822,10,,,0x0803,211.0,,,,,,AppInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 27, 2023 18:36:31.201213",0.005857,28,0x1cd8,,0x8000,233.0,,,,,,AppInteraction1.pcapng
Philips Lamp 2,Bulb,"Oct 27, 2023 18:36:31.205221",0.004008,28,0x5bb9,,0x8000,227.0,,,,,,AppInteraction1.pcapng
Power Plug 1,Socket,"Oct 27, 2023 18:36:31.208051",0.00283,28,0x3d95,,0x8000,124.0,,,,,,AppInteraction1.pcapng
Philips Lamp 3,Bulb,"Oct 27, 2023 18:36:31.211890",0.003839,28,0x711c,,0x8000,249.0,,,,,,AppInteraction1.pcapng
Smart Socket,Socket,"Oct 27, 2023 18:36:31.217211",0.005321,28,0xe1a6,,0x8000,8.0,,,,,,AppInteraction1.pcapng
Power Plug 2,Socket,"Oct 27, 2023 18:36:31.257216",0.040005,28,0xa706,,0x8000,223.0,,,,,,AppInteraction1.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:36:31.258632",0.001416,28,0x0000,,0x8000,11.0,,,,,,AppInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 27, 2023 18:36:31.266453",0.007821,28,0xec7f,,0x8000,148.0,,,,,,AppInteraction1.pcapng
Ledvance Z3 Plug,Socket,"Oct 27, 2023 18:36:31.300748",0.034295,28,0x4e11,,0x8000,31.0,,,,,,AppInteraction1.pcapng
Moes Bulb,Bulb,"Oct 27, 2023 18:36:31.304070",0.003322,28,0x1e15,,0x8000,121.0,,,,,,AppInteraction1.pcapng
Philips Lamp 3,Bulb,"Oct 27, 2023 18:36:35.371795",4.067725,77,0x711c,0xffff,0x8841,250.0,0x711c,0xfffc,0x1209,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:35.612972",0.241177,10,,,0x0803,211.0,,,,,,AppInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 27, 2023 18:36:35.618555",0.005583,28,0x1cd8,,0x8000,234.0,,,,,,AppInteraction1.pcapng
Philips Lamp 2,Bulb,"Oct 27, 2023 18:36:35.620537",0.001982,28,0x5bb9,,0x8000,228.0,,,,,,AppInteraction1.pcapng
Philips Lamp 3,Bulb,"Oct 27, 2023 18:36:35.627725",0.007188,28,0x711c,,0x8000,251.0,,,,,,AppInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 27, 2023 18:36:35.635074",0.007349,28,0xec7f,,0x8000,149.0,,,,,,AppInteraction1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 27, 2023 18:36:35.638019",0.002945,28,0x0112,,0x8000,144.0,,,,,,AppInteraction1.pcapng
Power Plug 2,Socket,"Oct 27, 2023 18:36:35.640123",0.002104,28,0xa706,,0x8000,224.0,,,,,,AppInteraction1.pcapng
Power Plug 1,Socket,"Oct 27, 2023 18:36:35.666664",0.026541,28,0x3d95,,0x8000,125.0,,,,,,AppInteraction1.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:36:35.675067",0.008403,28,0x0000,,0x8000,12.0,,,,,,AppInteraction1.pcapng
Ledvance Z3 Plug,Socket,"Oct 27, 2023 18:36:35.685945",0.010878,28,0x4e11,,0x8000,32.0,,,,,,AppInteraction1.pcapng
Moes Bulb,Bulb,"Oct 27, 2023 18:36:35.704564",0.018619,28,0x1e15,,0x8000,122.0,,,,,,AppInteraction1.pcapng
Smart Socket,Socket,"Oct 27, 2023 18:36:35.711819",0.007255,28,0xe1a6,,0x8000,9.0,,,,,,AppInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 27, 2023 18:36:38.558184",2.846365,77,0xec7f,0xffff,0x8841,80.0,0xec7f,0xfffc,0x1209,,,AppInteraction1.pcapng
Ledvance Z3 Plug,Socket,"Oct 27, 2023 18:36:39.627097",1.068913,74,0x4e11,0xffff,0x8841,169.0,0x4e11,0xfffc,0x1209,,,AppInteraction1.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:36:39.785760",0.158663,77,0x0000,0xffff,0x8841,13.0,0x0000,0xfffc,0x1209,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:40.034695",0.248935,10,,,0x0803,211.0,,,,,,AppInteraction1.pcapng
Power Plug 2,Socket,"Oct 27, 2023 18:36:40.037368",0.002673,28,0xa706,,0x8000,225.0,,,,,,AppInteraction1.pcapng
Philips Lamp 2,Bulb,"Oct 27, 2023 18:36:40.041977",0.004609,28,0x5bb9,,0x8000,229.0,,,,,,AppInteraction1.pcapng
Philips Lamp 3,Bulb,"Oct 27, 2023 18:36:40.043470",0.001493,28,0x711c,,0x8000,252.0,,,,,,AppInteraction1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 27, 2023 18:36:40.049022",0.005552,28,0x0112,,0x8000,145.0,,,,,,AppInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 27, 2023 18:36:40.052756",0.003734,28,0x1cd8,,0x8000,235.0,,,,,,AppInteraction1.pcapng
Moes Bulb,Bulb,"Oct 27, 2023 18:36:40.067405",0.014649,28,0x1e15,,0x8000,123.0,,,,,,AppInteraction1.pcapng
Power Plug 1,Socket,"Oct 27, 2023 18:36:40.073348",0.005943,28,0x3d95,,0x8000,126.0,,,,,,AppInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 27, 2023 18:36:40.092542",0.019194,28,0xec7f,,0x8000,150.0,,,,,,AppInteraction1.pcapng
Ledvance Z3 Plug,Socket,"Oct 27, 2023 18:36:40.135623",0.043081,28,0x4e11,,0x8000,33.0,,,,,,AppInteraction1.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:36:40.140162",0.004539,28,0x0000,,0x8000,14.0,,,,,,AppInteraction1.pcapng
Smart Socket,Socket,"Oct 27, 2023 18:36:40.148457",0.008295,28,0xe1a6,,0x8000,10.0,,,,,,AppInteraction1.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:36:40.627553",,52,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:40.629600",0.002047,5,,,0x0002,15.0,,,,,,AppInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 27, 2023 18:36:40.633126",0.003526,52,0x1cd8,0x4e11,0x8861,236.0,,,,,,AppInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 27, 2023 18:36:40.637770",,52,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:40.639817",0.002047,5,,,0x0002,236.0,,,,,,AppInteraction1.pcapng
Ledvance Z3 Plug,Socket,"Oct 27, 2023 18:36:40.648888",0.009071,55,0x4e11,0x1cd8,0x8861,170.0,0x4e11,0x0000,0x1a09,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:40.651031",0.002143,5,,,0x0002,170.0,,,,,,AppInteraction1.pcapng
Ledvance Z3 Plug,Socket,"Oct 27, 2023 18:36:40.652919",0.001888,55,0x4e11,0x1cd8,0x8861,171.0,0x4e11,0x0000,0x1a09,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:40.655063",0.002144,5,,,0x0002,171.0,,,,,,AppInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 27, 2023 18:36:40.656430",0.001367,57,0x1cd8,0x0000,0x8861,237.0,0x4e11,0x0000,0x1a09,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:40.658636",0.002206,5,,,0x0002,237.0,,,,,,AppInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 27, 2023 18:36:40.660978",0.002342,57,0x1cd8,0x0000,0x8861,238.0,0x4e11,0x0000,0x1a09,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:40.663185",0.002207,5,,,0x0002,238.0,,,,,,AppInteraction1.pcapng
Ledvance Z3 Plug,Socket,"Oct 27, 2023 18:36:40.691734",,50,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:40.693717",0.001983,5,,,0x0002,172.0,,,,,,AppInteraction1.pcapng
Ledvance Z3 Plug,Socket,"Oct 27, 2023 18:36:40.696277",0.00256,52,0x4e11,0x1cd8,0x8861,173.0,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:40.698325",0.002048,5,,,0x0002,173.0,,,,,,AppInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 27, 2023 18:36:40.700370",,50,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:40.702353",0.001983,5,,,0x0002,239.0,,,,,,AppInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 27, 2023 18:36:40.705585",,52,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:40.707632",0.002047,5,,,0x0002,240.0,,,,,,AppInteraction1.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:36:40.725025",,49,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:40.726976",0.001951,5,,,0x0002,16.0,,,,,,AppInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 27, 2023 18:36:40.730104",,49,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:40.732055",0.001951,5,,,0x0002,241.0,,,,,,AppInteraction1.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:36:40.736160",,49,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:40.738111",0.001951,5,,,0x0002,17.0,,,,,,AppInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 27, 2023 18:36:40.742757",,49,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:40.744708",0.001951,5,,,0x0002,242.0,,,,,,AppInteraction1.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:36:40.752780",,54,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:40.754891",0.002111,5,,,0x0002,18.0,,,,,,AppInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 27, 2023 18:36:40.759497",,54,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:40.761608",0.002111,5,,,0x0002,243.0,,,,,,AppInteraction1.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:36:40.763137",,54,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:36:40.765248",0.002111,5,,,0x0002,18.0,,,,,,AppInteraction1.pcapng
Ledvance Z3 Plug,Socket,"Oct 27, 2023 18:36:40.768676",0.003428,55,0x4e11,0x1cd8,0x8861,174.0,0x4e11,0x0000,0x1a09,,,AppInteraction1.pcapng
