Packet Number,Device Name,Device Type,Source Address,Destination Address,Device Name Destination,Device Type Destination,Source Address ZigBee,Device Name ZigBee,Device Type ZigBee,Destination Address ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Human Command,Packet Type,Command String
1,Ledvance Z3 Plug,Socket,0x4e11,0xffff,Broadcast,Broadcast,,Unknown,Unknown,,,,0,Link Status (0x08),
2,Philips Lamp 2,Bulb,0x5bb9,0xffff,Broadcast,Broadcast,,Unknown,Unknown,,,,0,Link Status (0x08),
3,Coordinator,Coordinator,0x0000,0xe1a6,Smart Socket,Socket,,Unknown,Unknown,,,,0,Read Attributes (0x00),
4,Unknown,Unknown,,,Unknown,Unknown,,Unknown,Unknown,,,,0,,
5,Smart Socket,Socket,0xe1a6,0x0000,Coordinator,Coordinator,,Unknown,Unknown,,,,0,Read Attributes Response (0x01),
6,Unknown,Unknown,,,Unknown,Unknown,,Unknown,Unknown,,,,0,,
7,Coordinator,Coordinator,0x0000,0x3d95,Power Plug 1,Socket,,Unknown,Unknown,,,,0,Read Attributes (0x00),
8,Unknown,Unknown,,,Unknown,Unknown,,Unknown,Unknown,,,,0,,
9,Power Plug 1,Socket,0x3d95,0x0000,Coordinator,Coordinator,,Unknown,Unknown,,,,0,Read Attributes Response (0x01),
10,Unknown,Unknown,,,Unknown,Unknown,,Unknown,Unknown,,,,0,,
11,Coordinator,Coordinator,0x0000,0xe1a6,Smart Socket,Socket,,Unknown,Unknown,,,,0,APS: Ack,
12,Unknown,Unknown,,,Unknown,Unknown,,Unknown,Unknown,,,,0,,
13,Coordinator,Coordinator,0x0000,0xe1a6,Smart Socket,Socket,,Unknown,Unknown,,,,0,Read Attributes (0x00),
14,Unknown,Unknown,,,Unknown,Unknown,,Unknown,Unknown,,,,0,,
15,Smart Socket,Socket,0xe1a6,0x0000,Coordinator,Coordinator,,Unknown,Unknown,,,,0,Read Attributes Response (0x01),
16,Unknown,Unknown,,,Unknown,Unknown,,Unknown,Unknown,,,,0,,
17,Coordinator,Coordinator,0x0000,0x3d95,Power Plug 1,Socket,,Unknown,Unknown,,,,0,APS: Ack,
18,Unknown,Unknown,,,Unknown,Unknown,,Unknown,Unknown,,,,0,,
19,Coordinator,Coordinator,0x0000,0x3d95,Power Plug 1,Socket,,Unknown,Unknown,,,,0,Read Attributes (0x00),
20,Unknown,Unknown,,,Unknown,Unknown,,Unknown,Unknown,,,,0,,
21,Power Plug 1,Socket,0x3d95,0x0000,Coordinator,Coordinator,,Unknown,Unknown,,,,0,Read Attributes Response (0x01),
22,Unknown,Unknown,,,Unknown,Unknown,,Unknown,Unknown,,,,0,,
23,Coordinator,Coordinator,0x0000,0xa706,Power Plug 2,Socket,,Unknown,Unknown,,,,0,Read Attributes (0x00),
24,Unknown,Unknown,,,Unknown,Unknown,,Unknown,Unknown,,,,0,,
25,Power Plug 2,Socket,0xa706,0x0000,Coordinator,Coordinator,,Unknown,Unknown,,,,0,Read Attributes Response (0x01),
26,Unknown,Unknown,,,Unknown,Unknown,,Unknown,Unknown,,,,0,,
27,Coordinator,Coordinator,0x0000,0xe1a6,Smart Socket,Socket,,Unknown,Unknown,,,,0,APS: Ack,
28,Coordinator,Coordinator,0x0000,0xa706,Power Plug 2,Socket,,Unknown,Unknown,,,,0,Read Attributes (0x00),
29,Coordinator,Coordinator,0x0000,0xa706,Power Plug 2,Socket,,Unknown,Unknown,,,,0,Read Attributes (0x00),
30,Coordinator,Coordinator,0x0000,0xa706,Power Plug 2,Socket,,Unknown,Unknown,,,,0,Read Attributes (0x00),
31,Coordinator,Coordinator,0x0000,0xa706,Power Plug 2,Socket,,Unknown,Unknown,,,,0,Read Attributes (0x00),
32,Power Plug 2,Socket,0xa706,0x0000,Coordinator,Coordinator,,Unknown,Unknown,,,,0,Read Attributes Response (0x01),
33,Unknown,Unknown,,,Unknown,Unknown,,Unknown,Unknown,,,,0,,
34,Power Plug 2,Socket,0xa706,0x0000,Coordinator,Coordinator,,Unknown,Unknown,,,,0,Read Attributes Response (0x01),
35,Unknown,Unknown,,,Unknown,Unknown,,Unknown,Unknown,,,,0,,
36,Coordinator,Coordinator,0x0000,0x3d95,Power Plug 1,Socket,,Unknown,Unknown,,,,0,APS: Ack,
37,Unknown,Unknown,,,Unknown,Unknown,,Unknown,Unknown,,,,0,,
38,Coordinator,Coordinator,0x0000,0xa706,Power Plug 2,Socket,,Unknown,Unknown,,,,0,APS: Ack,
39,Coordinator,Coordinator,0x0000,0xa706,Power Plug 2,Socket,,Unknown,Unknown,,,,0,APS: Ack,
