Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Power Plug 1,Socket,72.5,2.1213203435596424,0.164483,0.2326140893798138,97.0,4.0,50.5
Smart Socket,Socket,31.58333333333333,12.413030787576956,0.0489984545454545,0.1311566757480256,215.0,32.0,105.72727272727272
Moes Bulb,Bulb,31.90909090909091,12.964987816843838,0.0536143,0.1373062565193022,215.0,32.0,96.0
Philips Lamp 1,Bulb,32.3,13.597793938724031,0.0590372222222222,0.1444949588331525,215.0,32.0,101.0
Philips Lamp 3,Bulb,32.77777777777778,14.333333333333332,0.06623,0.1527394369833802,215.0,32.0,107.75
Philips Lamp 2,Bulb,33.375,15.202795795510772,0.0750252857142857,0.1627745651841981,215.0,51.0,118.57142857142856
Ledvance Bulb,Bulb,34.142857142857146,16.25247233939677,0.0858193333333333,0.1755447936780429,202.0,51.0,102.5
Ledvance Smart+ Plug,Socket,35.166666666666664,17.55467648994611,0.0981092,0.1933576015164648,202.0,61.0,112.8
Coordinator,Coordinator,36.6,19.23018460649819,0.0981092,0.1933576015164648,202.0,61.0,112.8
Power Plug 1,Socket,38.75,21.5,0.12071625,0.2155048909443046,202.0,94.0,125.75
Ledvance Z3 Plug,Socket,42.333333333333336,24.826061575153908,0.151106,0.2532238448507565,202.0,94.0,135.0
Power Plug 2,Socket,49.5,30.405591591021544,0.223346,0.3113405299699992,202.0,94.0,148.0
Smart Socket,Socket,30.33333333333333,37.978063843926186,0.4077950000000001,0.637223229090089,204.0,126.0,152.0
Coordinator,Coordinator,36.44444444444444,25.132560432031827,0.0810927272727272,0.570686381484075,254.0,48.0,99.36363636363636
Ledvance Bulb,Bulb,36.582608695652176,25.13785940749832,0.0825567962962963,0.5759407873004314,254.0,48.0,100.05555555555556
Smart Socket,Socket,36.72566371681416,25.142539289451605,0.084076396226415,0.5813430076254908,254.0,48.0,100.05660377358492
Coordinator,Coordinator,36.77477477477478,25.064166629123108,0.0856471346153846,0.5869012068212472,254.0,48.0,98.03846153846152
Ledvance Bulb,Bulb,36.92660550458716,25.066469570006127,0.0872866078431372,0.5926208925983651,254.0,48.0,98.72549019607844
Power Plug 1,Socket,37.08411214953271,25.0678782265224,0.08899198,0.598511077199776,254.0,48.0,98.68
Coordinator,Coordinator,37.142857142857146,24.98246637891518,0.0907591836734694,0.6045816148963635,254.0,48.0,98.6734693877551
Ledvance Bulb,Bulb,37.37864077669903,25.011415630865223,0.0926123125,0.6108388307138278,254.0,48.0,99.39583333333331
Coordinator,Coordinator,37.62376237623762,25.03911000221395,0.0945446170212766,0.6172943799451713,254.0,48.0,99.34042553191487
Ledvance Bulb,Bulb,37.78787878787879,25.022550126681743,0.0965543478260869,0.6239600381226426,254.0,48.0,100.08695652173913
Smart Socket,Socket,37.95876288659794,25.00413196094346,0.0986537555555555,0.6308463337832957,254.0,48.0,100.02222222222224
Coordinator,Coordinator,38.01052631578948,24.871368969176093,0.1008391818181818,0.637967258895338,254.0,48.0,97.61363636363636
Ledvance Bulb,Bulb,38.29032258064516,24.891320577908303,0.1031422093023256,0.6453323352207779,254.0,48.0,98.34883720930232
Coordinator,Coordinator,38.582417582417584,24.90875166775545,0.1055553333333333,0.6529584441331723,254.0,48.0,98.21428571428572
Ledvance Bulb,Bulb,38.78651685393258,24.87946940666337,0.1080787073170731,0.66086267918446,254.0,48.0,98.97560975609755
Coordinator,Coordinator,39.0,24.8469735183836,0.110728625,0.6690610152897861,254.0,48.0,98.825
Power Plug 1,Socket,39.22352941176471,24.81089261104612,0.1135140512820512,0.6775722845437522,254.0,48.0,99.6153846153846
Ledvance Bulb,Bulb,39.31325301204819,24.64871624364228,0.1164356052631579,0.6864186346107161,254.0,48.0,99.60526315789474
Power Plug 2,Socket,39.55555555555556,24.602337287339186,0.1195264324324324,0.6956187939707007,254.0,48.0,99.43243243243244
Power Plug 2,Socket,39.65822784810127,24.42355214507745,0.1227773055555555,0.7052011146655488,254.0,48.0,99.55555555555556
