Device_Group,Count,Devices,Average_Percentage_of_Total
Coordinator,1,Coordinator,55.86
Power Plug,2,"Power Plug 2, Power Plug 1",15.38
Philips Lamp,3,"Philips Lamp 1, Philips Lamp 2, Philips Lamp 3",5.75
Smart Socket,1,Smart Socket,16.44
Ledvance Bulb,1,Ledvance Bulb,8.77
Broadcast,1,Broadcast,8.66
Unknown,1,Unknown,4.7
Philips Motion,1,Philips Motion,4.24
Moes Bulb,1,Moes Bulb,4.12
Ledvance Z3 Plug,1,Ledvance Z3 Plug,3.08
Ledvance Smart+ Plug,1,Ledvance Smart+ Plug,2.06
Aqara Door,2,"Aqara Door 1, Aqara Door 2",0.32
Aqara Button,1,Aqara Button,0.33
Sonoff Temperature,1,Sonoff Temperature,0.25
Sonoff Motion,2,"Sonoff Motion 1, Sonoff Motion 2",0.12
Aqara Motion,1,Aqara Motion,0.22
Sonoff Door,2,"Sonoff Door 2, Sonoff Door 1",0.1
Aqara Vibration,1,Aqara Vibration,0.17
